ダウンロードした時刻：2024/10/14 14:28:00

,網走,網走,網走,網走,網走,網走,東京,東京,東京,東京,東京,東京,大阪,大阪,大阪,大阪,大阪,大阪,福岡,福岡,福岡,福岡,福岡,福岡
2024/4/16,24.0,8,1,9.1,8,1,23.4,8,1,15.9,8,1,26.0,8,1,16.4,8,1,22.1,8,1,15.3,8,1
2024/4/17,22.6,8,1,9.6,8,1,25.5,8,1,16.5,8,1,25.6,8,1,16.1,8,1,21.7,8,1,13.7,8,1
2024/4/18,12.1,8,1,2.5,8,1,21.4,8,1,14.3,8,1,21.2,8,1,14.1,8,1,21.3,8,1,15.4,8,1
2024/4/19,4.4,8,1,2.1,8,1,23.6,8,1,14.1,8,1,22.6,8,1,13.6,8,1,23.5,8,1,13.2,8,1
2024/4/20,3.7,8,1,1.9,8,1,26.1,8,1,12.7,8,1,25.3,8,1,13.5,8,1,22.1,8,1,15.1,8,1
2024/4/21,4.4,8,1,2.5,8,1,23.3,8,1,14.9,8,1,19.7,8,1,15.6,8,1,21.3,8,1,16.4,8,1
2024/4/22,3.1,8,1,1.3,8,1,18.6,8,1,13.2,8,1,25.0,8,1,16.0,8,1,18.6,8,1,16.2,8,1
2024/4/23,3.7,8,1,1.2,8,1,19.4,8,1,14.8,8,1,21.4,8,1,16.5,8,1,19.2,8,1,15.8,8,1
2024/4/24,14.3,8,1,0.5,8,1,16.5,8,1,13.9,8,1,24.9,8,1,16.4,8,1,22.1,8,1,15.1,8,1
2024/4/25,15.0,8,1,7.5,8,1,25.8,8,1,13.8,8,1,23.5,8,1,14.7,8,1,22.6,8,1,12.5,8,1
2024/4/26,18.2,8,1,6.3,8,1,25.1,8,1,15.1,8,1,24.3,8,1,14.5,8,1,19.3,8,1,14.8,8,1
2024/4/27,21.6,8,1,8.9,8,1,23.2,8,1,16.6,8,1,21.4,8,1,17.2,8,1,23.6,8,1,16.7,8,1
2024/4/28,13.0,8,1,6.9,8,1,28.2,8,1,15.7,8,1,27.1,8,1,15.9,8,1,25.7,8,1,15.7,8,1
2024/4/29,11.2,8,1,5.2,8,1,25.8,8,1,17.4,8,1,24.6,8,1,17.9,8,1,26.1,8,1,19.0,8,1
2024/4/30,10.7,8,1,4.7,8,1,25.2,8,1,18.2,8,1,25.1,8,1,17.6,8,1,19.4,8,1,17.3,8,1
2024/5/1,7.3,8,1,2.8,8,1,21.2,8,1,11.8,8,1,18.2,8,1,13.1,8,1,17.5,8,1,14.6,8,1
2024/5/2,18.2,8,1,3.3,8,1,21.7,8,1,10.8,8,1,22.9,8,1,12.4,8,1,19.6,8,1,12.1,8,1
2024/5/3,15.9,8,1,3.6,8,1,24.2,8,1,11.4,8,1,24.5,8,1,12.8,8,1,24.1,8,1,12.7,8,1
2024/5/4,6.5,8,1,2.6,8,1,27.8,8,1,14.8,8,1,27.3,8,1,14.9,8,1,27.1,8,1,15.4,8,1
2024/5/5,17.7,8,1,2.5,8,1,27.7,8,1,15.4,8,1,25.6,8,1,15.9,8,1,25.5,8,1,20.5,8,1
2024/5/6,15.3,8,1,5.2,8,1,23.6,8,1,19.1,8,1,25.5,8,1,17.8,8,1,24.7,8,1,18.5,8,1
2024/5/7,6.5,8,1,2.3,8,1,22.2,8,1,18.6,8,1,22.5,8,1,17.7,8,1,22.8,8,1,16.3,8,1
2024/5/8,3.3,8,1,1.7,8,1,23.8,8,1,11.4,8,1,21.1,8,1,12.3,8,1,19.3,8,1,13.6,8,1
2024/5/9,7.4,8,1,1.8,8,1,18.9,8,1,10.2,8,1,20.1,8,1,12.0,8,1,20.9,8,1,12.1,8,1
2024/5/10,17.2,8,1,5.2,8,1,24.4,8,1,8.7,8,1,24.1,8,1,9.8,8,1,26.2,8,1,13.1,8,1
2024/5/11,19.1,8,1,7.2,8,1,25.9,8,1,14.1,8,1,25.7,8,1,13.7,8,1,25.9,8,1,17.8,8,1
2024/5/12,22.8,8,1,10.9,8,1,24.8,8,1,17.3,8,1,25.1,8,1,18.1,8,1,21.1,8,1,18.4,8,1
2024/5/13,19.0,8,1,8.9,8,1,22.0,8,1,15.4,8,1,18.9,8,1,13.2,8,1,22.3,5,1,15.5,5,1
2024/5/14,19.0,8,1,6.7,8,1,21.6,8,1,12.2,8,1,25.5,8,1,10.7,8,1,24.3,8,1,12.1,8,1
2024/5/15,22.7,8,1,8.9,8,1,25.7,8,1,13.8,8,1,24.5,8,1,16.1,8,1,25.0,8,1,15.0,8,1
2024/5/16,16.6,8,1,8.3,8,1,25.1,8,1,14.7,8,1,22.5,8,1,15.8,8,1,22.1,8,1,13.7,8,1
2024/5/17,22.0,8,1,8.4,8,1,27.2,8,1,13.4,8,1,24.1,8,1,15.6,8,1,26.3,8,1,16.1,8,1
2024/5/18,26.1,8,1,10.5,8,1,28.8,8,1,16.2,8,1,29.0,8,1,15.3,8,1,26.6,8,1,15.6,8,1
2024/5/19,22.4,8,1,9.9,8,1,24.1,8,1,17.7,8,1,21.8,8,1,14.6,8,1,28.3,8,1,16.3,8,1
2024/5/20,17.7,8,1,8.2,8,1,21.4,8,1,14.4,8,1,24.0,8,1,14.6,8,1,28.6,8,1,17.7,8,1
2024/5/21,8.7,8,1,5.5,8,1,28.9,8,1,16.9,8,1,26.3,8,1,16.1,8,1,25.0,8,1,19.2,8,1
2024/5/22,25.3,8,1,6.1,8,1,25.3,8,1,18.0,8,1,25.9,8,1,14.6,8,1,23.8,8,1,18.6,8,1
2024/5/23,24.0,5,1,11.0,5,1,25.2,8,1,18.1,8,1,25.9,8,1,18.7,8,1,27.0,8,1,20.7,8,1
2024/5/24,12.0,8,1,2.6,8,1,29.0,8,1,18.1,8,1,27.2,8,1,18.4,8,1,27.5,8,1,19.2,8,1
2024/5/25,9.8,8,1,2.6,8,1,25.8,8,1,18.3,8,1,27.0,8,1,16.5,8,1,25.6,8,1,18.7,8,1
2024/5/26,11.5,8,1,4.8,8,1,26.6,8,1,17.6,8,1,27.5,8,1,14.9,8,1,30.8,8,1,18.8,8,1
2024/5/27,19.0,8,1,9.2,8,1,25.1,8,1,20.3,8,1,27.4,8,1,18.5,8,1,26.1,8,1,19.7,8,1
2024/5/28,17.7,8,1,5.9,8,1,25.9,8,1,22.4,8,1,23.1,8,1,15.7,8,1,20.3,8,1,15.3,8,1
2024/5/29,6.5,8,1,4.6,8,1,25.8,8,1,18.8,8,1,24.6,8,1,16.1,8,1,23.4,8,1,15.2,8,1
2024/5/30,9.5,8,1,5.7,8,1,27.3,8,1,17.5,8,1,27.2,8,1,14.5,8,1,26.4,8,1,15.6,8,1
2024/5/31,11.3,8,1,6.3,8,1,21.7,8,1,16.6,8,1,21.9,8,1,16.7,8,1,23.5,8,1,16.2,8,1
2024/6/1,11.5,8,1,5.6,8,1,26.3,8,1,17.4,8,1,27.3,8,1,15.3,8,1,26.9,8,1,16.5,8,1
2024/6/2,20.2,8,1,7.3,8,1,24.6,8,1,16.2,8,1,26.4,8,1,17.6,8,1,24.2,8,1,17.6,8,1
2024/6/3,19.1,8,1,6.6,8,1,24.3,8,1,15.0,8,1,26.1,8,1,16.2,8,1,23.8,8,1,17.8,8,1
2024/6/4,16.0,8,1,8.9,8,1,25.5,8,1,14.8,8,1,25.6,8,1,16.3,8,1,24.6,8,1,17.5,8,1
2024/6/5,11.4,8,1,6.6,8,1,27.4,8,1,16.4,8,1,28.6,8,1,16.9,8,1,25.2,8,1,16.2,8,1
2024/6/6,10.1,8,1,5.7,8,1,27.0,8,1,18.1,8,1,26.2,8,1,17.6,8,1,26.8,8,1,19.8,8,1
2024/6/7,17.4,8,1,7.6,8,1,26.7,8,1,18.1,8,1,29.4,8,1,19.3,8,1,27.7,8,1,19.3,8,1
2024/6/8,25.1,8,1,12.3,8,1,28.2,8,1,17.4,8,1,30.1,8,1,19.0,8,1,26.5,8,1,19.9,8,1
2024/6/9,23.7,8,1,14.8,8,1,25.7,8,1,19.9,8,1,22.5,8,1,17.8,8,1,26.7,8,1,19.8,8,1
2024/6/10,21.4,8,1,14.8,8,1,24.7,8,1,17.4,8,1,28.9,8,1,17.8,8,1,27.7,8,1,20.9,8,1
2024/6/11,21.2,8,1,12.6,8,1,29.0,8,1,19.5,8,1,30.0,8,1,19.7,8,1,27.7,8,1,20.6,8,1
2024/6/12,21.1,8,1,15.1,8,1,30.1,8,1,20.0,8,1,30.8,8,1,21.2,8,1,28.9,8,1,22.1,8,1
2024/6/13,21.7,8,1,9.5,8,1,25.4,8,1,20.0,8,1,33.2,8,1,22.4,8,1,30.1,8,1,22.2,8,1
2024/6/14,12.3,8,1,9.5,8,1,31.7,8,1,19.5,8,1,34.1,8,1,22.0,8,1,29.9,8,1,22.9,8,1
2024/6/15,24.3,8,1,10.6,8,1,29.9,8,1,20.9,8,1,30.6,8,1,21.5,8,1,30.2,8,1,23.9,8,1
2024/6/16,27.1,8,1,15.5,8,1,28.7,8,1,19.7,8,1,30.6,8,1,20.8,8,1,30.8,8,1,24.2,8,1
2024/6/17,22.7,8,1,15.9,8,1,30.5,8,1,22.5,8,1,28.1,8,1,20.2,8,1,27.6,8,1,19.2,8,1
2024/6/18,30.3,8,1,14.8,8,1,22.5,8,1,18.0,8,1,26.1,8,1,18.0,8,1,27.3,8,1,19.2,8,1
2024/6/19,16.2,8,1,10.1,8,1,29.5,8,1,17.2,8,1,31.2,8,1,19.0,8,1,32.7,8,1,20.6,8,1
2024/6/20,20.7,8,1,10.7,8,1,28.4,8,1,20.8,8,1,29.0,8,1,21.9,8,1,25.0,8,1,20.8,8,1
2024/6/21,20.0,8,1,11.9,8,1,23.3,8,1,17.3,8,1,28.7,8,1,18.2,8,1,28.6,8,1,21.0,8,1
2024/6/22,14.9,8,1,11.7,8,1,30.0,8,1,16.8,8,1,30.4,8,1,21.2,8,1,30.4,8,1,23.9,8,1
2024/6/23,13.5,8,1,11.7,8,1,24.2,8,1,20.0,8,1,27.4,8,1,22.4,8,1,29.6,8,1,24.4,8,1
2024/6/24,15.2,8,1,12.6,8,1,33.4,8,1,21.0,8,1,28.8,8,1,24.3,8,1,29.3,8,1,23.7,8,1
2024/6/25,22.9,8,1,10.9,8,1,31.8,8,1,24.5,8,1,28.2,8,1,24.3,8,1,27.1,8,1,22.1,8,1
2024/6/26,18.0,8,1,10.3,8,1,31.4,8,1,24.6,8,1,29.4,8,1,23.7,8,1,24.9,8,1,19.7,8,1
2024/6/27,21.4,8,1,10.3,8,1,29.8,8,1,23.0,8,1,26.4,8,1,22.1,8,1,24.5,8,1,19.6,8,1
2024/6/28,25.6,8,1,16.0,8,1,23.8,8,1,20.0,8,1,25.3,8,1,21.2,8,1,28.2,8,1,22.6,8,1
2024/6/29,27.6,8,1,18.6,8,1,29.0,8,1,20.7,8,1,29.9,8,1,23.1,8,1,28.6,8,1,23.2,8,1
2024/6/30,25.4,8,1,19.0,8,1,29.0,8,1,22.8,8,1,31.7,8,1,23.8,8,1,30.9,8,1,25.7,8,1
2024/7/1,27.7,8,1,10.6,8,1,29.4,8,1,24.6,8,1,27.8,8,1,24.1,8,1,28.4,8,1,24.6,8,1
2024/7/2,23.0,8,1,13.4,8,1,31.4,8,1,24.1,8,1,28.5,8,1,24.3,8,1,33.4,8,1,24.3,8,1
2024/7/3,27.2,8,1,17.2,8,1,33.3,8,1,23.6,8,1,33.8,8,1,25.3,8,1,34.6,8,1,28.3,8,1
2024/7/4,26.8,8,1,17.5,8,1,35.0,8,1,25.0,8,1,33.2,8,1,26.1,8,1,33.8,8,1,29.1,8,1
2024/7/5,22.7,8,1,16.1,8,1,35.5,8,1,26.2,8,1,35.4,8,1,27.5,8,1,33.4,8,1,28.7,8,1
2024/7/6,29.0,8,1,18.2,8,1,34.2,8,1,23.9,8,1,35.3,8,1,28.1,8,1,35.3,8,1,28.8,8,1
2024/7/7,27.3,8,1,17.7,8,1,34.4,8,1,24.2,8,1,34.8,8,1,26.9,8,1,35.2,8,1,29.7,8,1
2024/7/8,21.2,8,1,15.7,8,1,36.0,8,1,26.1,8,1,35.1,8,1,28.1,8,1,35.3,8,1,29.6,8,1
2024/7/9,22.1,8,1,15.9,8,1,34.5,8,1,26.2,8,1,34.2,8,1,27.5,8,1,36.0,8,1,29.7,8,1
2024/7/10,23.4,8,1,16.6,8,1,33.7,8,1,26.6,8,1,32.8,8,1,27.4,8,1,32.9,8,1,27.0,8,1
2024/7/11,23.7,8,1,17.4,8,1,29.6,8,1,26.1,8,1,27.5,8,1,23.7,8,1,29.4,8,1,22.9,8,1
2024/7/12,23.6,8,1,18.0,8,1,26.9,8,1,22.4,8,1,27.3,8,1,21.3,8,1,30.4,8,1,23.4,8,1
2024/7/13,19.4,8,1,16.1,8,1,31.3,8,1,22.5,8,1,30.2,8,1,23.6,8,1,31.0,8,1,23.9,8,1
2024/7/14,19.1,8,1,15.8,8,1,28.8,8,1,23.7,8,1,29.1,8,1,24.1,8,1,26.1,8,1,23.4,8,1
2024/7/15,20.3,8,1,15.5,8,1,27.7,8,1,23.2,8,1,31.0,8,1,25.9,8,1,30.1,8,1,23.6,8,1
2024/7/16,27.3,5,1,15.7,5,1,27.3,8,1,22.2,8,1,32.2,8,1,22.6,8,1,32.7,8,1,24.0,8,1
2024/7/17,29.6,8,1,19.5,8,1,31.3,8,1,22.1,8,1,34.3,8,1,25.9,8,1,35.4,8,1,25.8,8,1
2024/7/18,25.3,8,1,19.2,8,1,33.4,8,1,24.4,8,1,34.9,8,1,26.2,8,1,34.2,8,1,27.3,8,1
2024/7/19,30.4,8,1,19.4,8,1,34.5,8,1,26.0,8,1,35.2,8,1,27.6,8,1,35.2,8,1,27.9,8,1
2024/7/20,29.0,8,1,21.0,8,1,35.8,8,1,25.0,8,1,34.4,8,1,28.5,8,1,35.6,8,1,30.2,8,1
2024/7/21,29.6,8,1,20.8,8,1,34.6,8,1,24.6,8,1,36.3,8,1,27.8,8,1,33.8,8,1,28.8,8,1
2024/7/22,33.5,8,1,21.6,8,1,36.6,8,1,24.8,8,1,36.4,8,1,28.5,8,1,35.1,8,1,28.0,8,1
2024/7/23,32.1,8,1,20.9,8,1,34.5,8,1,24.2,8,1,35.6,8,1,29.0,8,1,36.7,8,1,28.9,8,1
2024/7/24,23.5,8,1,17.2,8,1,36.0,8,1,24.9,8,1,35.5,8,1,28.6,8,1,34.6,8,1,27.3,8,1
2024/7/25,20.1,5,1,16.6,5,1,34.8,8,1,27.0,8,1,34.5,8,1,27.6,8,1,37.3,8,1,26.3,8,1
2024/7/26,18.1,8,1,14.5,8,1,35.6,8,1,26.1,8,1,35.7,8,1,29.1,8,1,36.1,8,1,28.1,8,1
2024/7/27,20.6,8,1,14.3,8,1,35.6,8,1,26.7,8,1,35.2,8,1,29.0,8,1,37.0,8,1,29.0,8,1
2024/7/28,27.7,8,1,18.9,8,1,36.8,8,1,26.5,8,1,36.6,8,1,28.8,8,1,34.9,8,1,28.4,8,1
2024/7/29,24.2,8,1,19.1,8,1,37.3,8,1,29.3,8,1,35.7,8,1,28.7,8,1,35.2,8,1,27.2,8,1
2024/7/30,22.5,8,1,17.5,8,1,36.1,8,1,27.8,8,1,35.0,8,1,29.3,8,1,34.9,8,1,28.7,8,1
2024/7/31,19.9,8,1,17.4,8,1,35.6,8,1,24.6,8,1,34.9,8,1,28.3,8,1,34.9,8,1,28.0,8,1
2024/8/1,22.1,8,1,17.6,8,1,33.5,8,1,24.5,8,1,37.3,8,1,27.0,8,1,35.9,8,1,27.9,8,1
2024/8/2,28.9,8,1,20.9,8,1,33.9,8,1,25.4,8,1,37.8,8,1,28.5,8,1,36.3,8,1,28.5,8,1
2024/8/3,28.4,8,1,21.4,8,1,34.6,8,1,26.0,8,1,37.8,8,1,28.5,8,1,36.2,8,1,29.1,8,1
2024/8/4,24.2,8,1,16.2,8,1,35.3,8,1,25.4,8,1,38.3,8,1,29.0,8,1,36.5,8,1,29.7,8,1
2024/8/5,18.7,8,1,15.9,8,1,35.0,8,1,26.1,8,1,35.3,8,1,28.7,8,1,35.9,8,1,29.4,8,1
2024/8/6,29.3,8,1,18.2,8,1,33.5,8,1,26.6,8,1,36.7,8,1,25.6,8,1,35.0,8,1,27.5,8,1
2024/8/7,31.3,8,1,22.4,8,1,34.6,8,1,23.9,8,1,35.9,8,1,26.3,8,1,34.5,8,1,27.7,8,1
2024/8/8,24.9,8,1,21.0,8,1,33.9,8,1,24.4,8,1,36.1,8,1,25.3,8,1,36.2,8,1,27.9,8,1
2024/8/9,28.2,8,1,20.6,8,1,35.3,8,1,26.6,8,1,37.0,8,1,26.9,8,1,36.0,8,1,29.1,8,1
2024/8/10,22.9,8,1,17.0,8,1,34.9,8,1,26.8,8,1,34.8,8,1,27.1,8,1,35.6,8,1,28.2,8,1
2024/8/11,19.5,8,1,16.8,8,1,35.9,8,1,27.4,8,1,35.1,8,1,26.1,8,1,34.2,8,1,26.8,8,1
2024/8/12,29.6,8,1,17.6,8,1,35.5,8,1,28.3,8,1,35.8,8,1,26.4,8,1,34.6,8,1,25.8,8,1
2024/8/13,32.6,8,1,22.9,8,1,34.9,8,1,27.7,8,1,37.6,8,1,27.0,8,1,34.6,8,1,27.1,8,1
2024/8/14,28.5,8,1,20.0,8,1,34.7,8,1,27.4,8,1,38.1,8,1,28.1,8,1,34.7,8,1,27.5,8,1
2024/8/15,20.5,8,1,17.5,8,1,35.7,8,1,26.8,8,1,37.6,8,1,27.0,8,1,34.9,8,1,26.6,8,1
2024/8/16,21.7,8,1,17.5,8,1,29.1,8,1,25.2,8,1,33.7,8,1,27.6,8,1,34.2,8,1,28.1,8,1
2024/8/17,25.3,8,1,17.6,8,1,35.9,8,1,25.4,8,1,33.5,8,1,27.3,8,1,34.4,8,1,27.5,8,1
2024/8/18,20.2,8,1,18.5,8,1,34.0,8,1,26.9,8,1,37.1,8,1,26.4,8,1,34.7,8,1,27.0,8,1
2024/8/19,24.2,8,1,16.4,8,1,34.5,8,1,23.3,8,1,31.2,8,1,26.1,8,1,36.3,8,1,28.7,8,1
2024/8/20,21.2,8,1,15.2,8,1,34.7,8,1,23.5,8,1,32.8,8,1,23.8,8,1,37.7,8,1,26.9,8,1
2024/8/21,22.9,8,1,14.8,8,1,33.6,8,1,24.6,8,1,34.9,8,1,27.3,8,1,37.8,8,1,29.5,8,1
2024/8/22,27.8,8,1,17.6,8,1,30.5,8,1,25.1,8,1,35.9,8,1,28.2,8,1,36.8,8,1,29.2,8,1
2024/8/23,31.7,8,1,21.3,8,1,32.3,8,1,27.0,8,1,35.5,8,1,28.6,8,1,36.6,8,1,29.7,8,1
2024/8/24,29.0,8,1,17.5,8,1,34.4,8,1,25.4,8,1,36.0,8,1,28.8,8,1,35.4,8,1,29.1,8,1
2024/8/25,21.0,8,1,16.8,8,1,33.5,8,1,25.3,8,1,35.9,8,1,26.2,8,1,32.4,8,1,26.6,8,1
2024/8/26,22.5,8,1,16.5,8,1,33.6,8,1,25.9,8,1,36.1,8,1,27.2,8,1,36.3,8,1,26.2,8,1
2024/8/27,25.1,8,1,18.7,8,1,31.5,8,1,24.5,8,1,35.8,8,1,27.6,8,1,37.4,8,1,28.3,8,1
2024/8/28,21.4,8,1,18.2,8,1,31.4,8,1,26.2,8,1,33.3,8,1,26.5,8,1,30.0,8,1,26.3,8,1
2024/8/29,25.4,8,1,17.7,8,1,31.4,8,1,25.4,8,1,29.0,8,1,24.7,8,1,26.8,8,1,24.8,8,1
2024/8/30,31.7,8,1,21.1,8,1,27.6,8,1,25.0,8,1,36.2,8,1,26.1,8,1,27.3,8,1,25.0,8,1
2024/8/31,24.9,8,1,21.0,8,1,31.1,8,1,24.7,8,1,28.7,8,1,25.4,8,1,32.3,8,1,25.7,8,1
2024/9/1,28.7,8,1,17.8,8,1,30.5,8,1,23.7,8,1,30.8,8,1,25.1,8,1,32.4,8,1,23.9,8,1
2024/9/2,25.2,8,1,17.1,8,1,34.1,8,1,25.4,8,1,34.4,8,1,25.1,8,1,32.5,8,1,23.9,8,1
2024/9/3,26.4,8,1,17.9,8,1,27.4,8,1,23.3,8,1,31.0,8,1,25.6,8,1,32.5,8,1,25.7,8,1
2024/9/4,28.4,8,1,17.0,8,1,30.0,8,1,22.8,8,1,34.1,8,1,23.9,8,1,32.1,8,1,25.1,8,1
2024/9/5,27.7,8,1,15.6,8,1,31.8,8,1,22.4,8,1,32.9,8,1,24.8,8,1,33.7,8,1,25.4,8,1
2024/9/6,23.9,8,1,17.3,8,1,33.5,8,1,24.6,8,1,34.4,8,1,25.8,8,1,33.8,8,1,25.6,8,1
2024/9/7,24.1,8,1,16.3,8,1,33.8,8,1,25.8,8,1,34.5,8,1,26.0,8,1,34.5,8,1,25.8,8,1
2024/9/8,26.9,8,1,16.1,8,1,33.6,8,1,25.5,8,1,35.4,8,1,26.7,8,1,33.7,8,1,25.8,8,1
2024/9/9,21.8,8,1,16.2,8,1,33.7,8,1,25.2,8,1,36.1,8,1,26.6,8,1,36.0,8,1,26.0,8,1
2024/9/10,26.7,8,1,14.9,8,1,33.7,8,1,24.5,8,1,35.4,8,1,26.8,8,1,36.1,8,1,27.5,8,1
2024/9/11,24.3,8,1,18.8,8,1,34.2,8,1,26.3,8,1,35.3,8,1,26.0,8,1,35.1,8,1,27.4,8,1
2024/9/12,26.5,8,1,17.2,8,1,34.5,8,1,26.8,8,1,35.8,8,1,27.1,8,1,33.8,8,1,27.3,8,1
2024/9/13,24.6,8,1,12.8,8,1,33.9,8,1,26.5,8,1,33.8,8,1,27.1,8,1,34.8,8,1,27.3,8,1
2024/9/14,19.9,8,1,10.1,8,1,34.5,8,1,26.3,8,1,34.8,8,1,26.8,8,1,36.9,8,1,26.3,8,1
2024/9/15,17.2,8,1,13.5,8,1,34.4,8,1,25.8,8,1,33.6,8,1,27.6,8,1,37.4,8,1,29.2,8,1
2024/9/16,20.9,8,1,12.4,8,1,28.3,8,1,23.9,8,1,35.5,8,1,27.4,8,1,36.4,8,1,25.5,8,1
2024/9/17,23.8,8,1,15.1,8,1,33.4,8,1,23.3,8,1,34.5,8,1,25.2,8,1,34.7,8,1,26.5,8,1
2024/9/18,25.9,8,1,15.3,8,1,35.1,8,1,24.8,8,1,34.0,8,1,27.9,8,1,35.2,8,1,27.3,8,1
2024/9/19,19.0,8,1,10.6,8,1,33.6,8,1,24.7,8,1,34.0,8,1,28.8,8,1,38.0,8,1,27.9,8,1
2024/9/20,21.1,8,1,11.9,8,1,33.9,8,1,25.5,8,1,34.7,8,1,28.2,8,1,35.3,8,1,29.1,8,1
2024/9/21,15.0,8,1,9.3,8,1,32.6,8,1,24.0,8,1,34.3,8,1,28.8,8,1,31.7,8,1,23.0,8,1
2024/9/22,16.4,8,1,7.1,8,1,28.9,8,1,22.5,8,1,29.7,8,1,23.1,8,1,29.2,8,1,23.4,8,1
2024/9/23,16.5,8,1,9.4,8,1,27.7,8,1,19.7,8,1,28.8,8,1,21.6,8,1,28.2,8,1,22.3,8,1
2024/9/24,19.5,8,1,7.4,8,1,25.3,8,1,17.7,8,1,30.6,8,1,21.8,8,1,30.8,8,1,20.1,8,1
2024/9/25,21.6,8,1,11.0,8,1,23.7,8,1,17.9,8,1,30.5,8,1,21.8,8,1,29.3,8,1,24.6,8,1
2024/9/26,21.9,5,1,14.5,5,1,29.1,8,1,19.4,8,1,32.3,8,1,22.9,8,1,32.9,8,1,23.0,8,1
2024/9/27,19.9,8,1,15.6,8,1,24.8,8,1,22.4,8,1,30.6,8,1,24.2,8,1,30.7,8,1,23.4,8,1
2024/9/28,15.8,8,1,13.6,8,1,27.4,8,1,21.8,8,1,29.6,8,1,24.9,8,1,30.8,8,1,25.0,8,1
2024/9/29,15.7,8,1,12.4,8,1,25.0,8,1,21.3,8,1,27.1,8,1,24.1,8,1,29.7,8,1,23.7,8,1
2024/9/30,23.4,8,1,11.6,8,1,25.3,8,1,20.5,8,1,30.6,8,1,23.2,8,1,30.4,8,1,22.6,8,1
2024/10/1,21.1,8,1,15.5,8,1,26.6,8,1,20.1,8,1,30.7,8,1,22.0,8,1,30.6,8,1,22.5,8,1
2024/10/2,22.8,8,1,12.8,8,1,31.9,8,1,22.0,8,1,31.7,8,1,22.6,8,1,26.5,8,1,18.4,8,1
2024/10/3,17.4,8,1,11.3,8,1,25.4,8,1,21.6,8,1,24.2,8,1,21.2,8,1,22.4,8,1,18.6,8,1
2024/10/4,13.7,8,1,10.0,8,1,30.4,8,1,22.3,8,1,24.4,8,1,20.7,8,1,26.7,8,1,19.5,8,1
2024/10/5,16.2,8,1,10.0,8,1,24.5,8,1,18.9,8,1,27.9,8,1,20.8,8,1,27.6,8,1,19.5,8,1
2024/10/6,22.2,8,1,9.0,8,1,22.9,8,1,19.1,8,1,30.8,8,1,19.4,8,1,28.3,8,1,22.3,8,1
2024/10/7,17.4,8,1,13.1,8,1,29.9,8,1,20.7,8,1,30.4,8,1,20.6,8,1,22.4,8,1,20.1,8,1
2024/10/8,14.8,8,1,9.5,8,1,25.3,8,1,15.1,8,1,24.9,8,1,17.0,8,1,22.4,8,1,19.2,8,1
2024/10/9,15.7,8,1,8.1,8,1,17.7,8,1,14.9,8,1,26.1,8,1,17.2,8,1,25.5,8,1,17.9,8,1
2024/10/10,16.7,8,1,7.1,8,1,22.1,8,1,15.2,8,1,27.6,8,1,18.6,8,1,26.1,8,1,17.1,8,1
2024/10/11,14.5,8,1,8.4,8,1,24.3,8,1,14.3,8,1,26.3,8,1,17.3,8,1,26.4,8,1,16.9,8,1
2024/10/12,16.3,8,1,8.0,8,1,25.8,8,1,16.4,8,1,27.6,8,1,16.6,8,1,26.2,8,1,15.8,8,1
2024/10/13,15.8,8,1,6.9,8,1,26.6,8,1,16.9,8,1,28.4,8,1,17.4,8,1,27.7,8,1,15.5,8,1
